Product,Category
50% Dark Bites,Dark Chocolate
70% Dark Bites,Dark Chocolate
85% Dark Bars,Dark Chocolate
99% Dark & Pure,Dark Chocolate
After Nines,Chocolate
Almond Choco,Chocolate
Baker's Choco Chips,Chocolate
Caramel Stuffed Bars,Chocolate
Choco Coated Almonds,Chocolate
Drinking Coco,Cocoa
Eclairs,Candy
Fruit & Nut Bars,Snack
Manuka Honey Choco,Chocolate
Milk Bars,Chocolate
Mint Chip Choco,Chocolate
Orange Choco,Chocolate
Organic Choco Syrup,Syrup
Peanut Butter Cubes,Snack
Raspberry Choco,Chocolate
Smooth Sliky Salty,Chocolate
Spicy Special Slims,Chocolate
50% Dark Bites,Dark Chocolate
White Choc,Chocolate
